Name,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Glenn Trimble,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Tim Zoehrer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,121,121,121,121,121,121,121,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130
Greg Dyer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,101,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174
Glenn Bishop,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
Peter Taylor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,134,221,363,379,437,437,437,437,437,437,437,437,437,437,437,437,437,437,437,437,437,437,437,437,437,437,437,437,437,437,437,437
Mike Veletta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141,467,484,484,484,484,484,484,484,484,484,484,484,484,484,484,484,484,484,484,484,484,484,484,484,484,484,484,484,484,484,484,484
Tom Moody,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,62,281,347,751,751,751,751,762,766,1013,1211,1211,1211,1211,1211,1211,1211,1211,1211,1211,1211,1211,1211,1211,1211,1211,1211,1211,1211,1211,1211
Tim May,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,16,18,18,18,18,22,36,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39
Andrew Zesers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Tony Dodemaide,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,84,84,84,84,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124
Ian Healy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,116,356,487,627,850,1140,1375,1617,1764,1764,1764,1764,1764,1764,1764,1764,1764,1764,1764,1764,1764,1764,1764,1764,1764,1764,1764,1764,1764,1764,1764
Jamie Siddons,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32
Merv Hughes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,37,56,56,56,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Mark Waugh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,131,220,477,858,1603,2542,3010,4069,4745,5502,6970,7565,8374,8500,8500,8500,8500,8500,8500,8500,8500,8500,8500,8500,8500,8500,8500,8500,8500,8500,8500
Greg Campbell,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
Mark Taylor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,516,636,930,1502,2088,2611,3403,3514,3514,3514,3514,3514,3514,3514,3514,3514,3514,3514,3514,3514,3514,3514,3514,3514,3514,3514,3514,3514,3514,3514
Paul Reiffel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,108,238,302,421,459,493,503,503,503,503,503,503,503,503,503,503,503,503,503,503,503,503,503,503,503,503,503
Damien Martyn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,136,166,166,166,166,280,730,1262,1679,2397,3275,3886,4691,5346,5346,5346,5346,5346,5346,5346,5346,5346,5346,5346,5346,5346,5346
Shane Warne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,184,234,283,402,469,673,769,835,1016,1016,1016,1018,1018,1018,1018,1018,1018,1018,1018,1018,1018,1018,1018,1018,1018,1018
Matthew Hayden,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,286,286,286,286,286,286,477,788,1666,2703,3649,4131,4234,5835,6133,6133,6133,6133,6133,6133,6133,6133,6133,6133,6133,6133
Brendon Julian,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,11,40,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224
Glenn McGrath,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,25,43,45,45,52,69,70,88,94,94,102,109,115,115,115,115,115,115,115,115,115,115,115,115,115
Michael Slater,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,526,758,969,987,987,987,987,987,987,987,987,987,987,987,987,987,987,987,987,987,987,987,987,987,987,987
Damien Fleming,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,14,19,19,30,48,101,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152
Michael Bevan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,432,526,1286,2014,2973,3922,4803,5384,5850,6634,6912,6912,6912,6912,6912,6912,6912,6912,6912,6912,6912,6912,6912,6912,6912,6912
Justin Langer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,131,131,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160
Jo Angel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
